#node time(s) x y
0 0.0 0.0000 0.0000
1 0.0 0.0000 75.0000
2 0.0 0.0000 150.0000
3 0.0 0.0000 225.0000
4 0.0 75.0000 0.0000
5 0.0 75.0000 75.0000
6 0.0 75.0000 150.0000
7 0.0 75.0000 225.0000
8 0.0 150.0000 0.0000
9 0.0 150.0000 75.0000
10 0.0 150.0000 150.0000
11 0.0 150.0000 225.0000
12 0.0 225.0000 0.0000
13 0.0 225.0000 75.0000
14 0.0 225.0000 150.0000
15 0.0 225.0000 225.0000
16 0.0 -75.000 0.0
17 0.0 -75.000 75.0
18 0.0 -75.000 150.0
19 0.0 -75.000 225.0
20 0.0 -150.0 0.0
21 0.0 -150.0 75.0
22 0.0 -150.0 150.0
23 0.0 -150.0 225.0
24 0.0 -225.0 0.0
25 0.0 -225.0 75.0
26 0.0 -225.0 150.0
27 0.0 -225.0 225.0
15 5000.0 225.0001 225.0001
15 10000.0 225.0002 225.0002

