#node time(s) x y
0 0.0 187.50 187.50
1 0.0 0.00 0.00
2 0.0 0.00 75.00
3 0.0 0.00 150.00
4 0.0 0.00 225.00
5 0.0 0.00 300.00
6 0.0 0.00 375.00
7 0.0 75.00 0.00
8 0.0 75.00 75.00
9 0.0 75.00 150.00
10 0.0 75.00 225.00
11 0.0 75.00 300.00
12 0.0 75.00 375.00
13 0.0 150.00 0.00
14 0.0 150.00 75.00
15 0.0 150.00 150.00
16 0.0 150.00 225.00
17 0.0 150.00 300.00
18 0.0 150.00 375.00
19 0.0 225.00 0.00
20 0.0 225.00 75.00
21 0.0 225.00 150.00
22 0.0 225.00 225.00
23 0.0 225.00 300.00
24 0.0 225.00 375.00
25 0.0 300.00 0.00
26 0.0 300.00 75.00
27 0.0 300.00 150.00
28 0.0 300.00 225.00
29 0.0 300.00 300.00
30 0.0 300.00 375.00
31 0.0 375.00 0.00
32 0.0 375.00 75.00
33 0.0 375.00 150.00
34 0.0 375.00 225.00
35 0.0 375.00 300.00
36 0.0 375.00 375.00
37 0.0 350.00 350.00
37 60.1 349.73 350.00
37 60.2 349.45 350.00
37 60.3 349.18 350.00
37 60.4 348.90 350.00
37 60.5 348.63 350.00
37 60.6 348.35 350.00
37 60.7 348.08 350.00
37 60.8 347.80 350.00
37 60.9 347.53 350.00
37 61.0 347.25 350.00
37 61.1 346.98 350.00
37 61.2 346.70 350.00
37 61.3 346.43 350.00
37 61.4 346.15 350.00
37 61.5 345.88 350.00
37 61.6 345.60 350.00
37 61.7 345.33 350.00
37 61.8 345.05 350.00
37 61.9 344.78 350.00
37 62.0 344.50 350.00
37 62.1 344.23 350.00
37 62.2 343.95 350.00
37 62.3 343.68 350.00
37 62.4 343.40 350.00
37 62.5 343.13 350.00
37 62.6 342.85 350.00
37 62.7 342.58 350.00
37 62.8 342.30 350.00
37 62.9 342.03 350.00
37 63.0 341.75 350.00
37 63.1 341.48 350.00
37 63.2 341.20 350.00
37 63.3 340.93 350.00
37 63.4 340.65 350.00
37 63.5 340.38 350.00
37 63.6 340.10 350.00
37 63.7 339.83 350.00
37 63.8 339.55 350.00
37 63.9 339.28 350.00
37 64.0 339.00 350.00
37 64.1 338.73 350.00
37 64.2 338.45 350.00
37 64.3 338.18 350.00
37 64.4 337.90 350.00
37 64.5 337.63 350.00
37 64.6 337.35 350.00
37 64.7 337.08 350.00
37 64.8 336.80 350.00
37 64.9 336.53 350.00
37 65.0 336.25 350.00
37 65.1 335.98 350.00
37 65.2 335.70 350.00
37 65.3 335.43 350.00
