#node time(s) x y
0 0.0 187.50 187.50
1 0.0 0.00 0.00
2 0.0 0.00 75.00
3 0.0 0.00 150.00
4 0.0 0.00 225.00
5 0.0 0.00 300.00
6 0.0 0.00 375.00
7 0.0 75.00 0.00
8 0.0 75.00 75.00
9 0.0 75.00 150.00
10 0.0 75.00 225.00
11 0.0 75.00 300.00
12 0.0 75.00 375.00
13 0.0 150.00 0.00
14 0.0 150.00 75.00
15 0.0 150.00 150.00
16 0.0 150.00 225.00
17 0.0 150.00 300.00
18 0.0 150.00 375.00
19 0.0 225.00 0.00
20 0.0 225.00 75.00
21 0.0 225.00 150.00
22 0.0 225.00 225.00
23 0.0 225.00 300.00
24 0.0 225.00 375.00
25 0.0 300.00 0.00
26 0.0 300.00 75.00
27 0.0 300.00 150.00
28 0.0 300.00 225.00
29 0.0 300.00 300.00
30 0.0 300.00 375.00
31 0.0 375.00 0.00
32 0.0 375.00 75.00
33 0.0 375.00 150.00
34 0.0 375.00 225.00
35 0.0 375.00 300.00
36 0.0 375.00 375.00
37 0.0 350.00 350.00
37 10000.0 349.99 349.99
