#node time(s) x y
1 0.0 0.0 0.0
0 0.0 0.00 200.00
0 60.1 0.28 200.00
0 60.1 0.55 200.00
0 60.2 0.83 200.00
0 60.3 1.10 200.00
0 60.3 1.38 200.00
0 60.4 1.65 200.00
0 60.5 1.92 200.00
0 60.5 2.20 200.00
0 60.6 2.47 200.00
0 60.7 2.75 200.00
0 60.7 3.02 200.00
0 60.8 3.30 200.00
0 60.9 3.57 200.00
0 60.9 3.85 200.00
0 61.0 4.12 200.00
0 61.1 4.40 200.00
0 61.1 4.67 200.00
0 61.2 4.95 200.00
0 61.3 5.23 200.00
0 61.3 5.50 200.00
0 61.4 5.78 200.00
0 61.5 6.05 200.00
0 61.5 6.33 200.00
0 61.6 6.60 200.00
0 61.7 6.88 200.00
0 61.7 7.15 200.00
0 61.8 7.43 200.00
0 61.8 7.70 200.00
0 61.9 7.98 200.00
0 62.0 8.25 200.00
0 62.0 8.53 200.00
0 62.1 8.80 200.00
0 62.2 9.08 200.00
0 62.2 9.35 200.00
0 62.3 9.63 200.00
0 62.4 9.90 200.00
0 62.4 10.18 200.00
0 62.5 10.45 200.00
0 62.6 10.73 200.00
0 62.6 11.00 200.00
0 62.7 11.28 200.00
0 62.8 11.55 200.00
0 62.8 11.83 200.00
0 62.9 12.10 200.00
0 63.0 12.38 200.00
0 63.0 12.65 200.00
0 63.1 12.93 200.00
0 63.2 13.20 200.00
0 63.2 13.48 200.00
0 63.3 13.75 200.00
0 63.4 14.03 200.00
0 63.4 14.30 200.00
0 63.5 14.58 200.00
0 63.6 14.85 200.00
0 63.6 15.13 200.00
0 63.7 15.40 200.00
0 63.8 15.68 200.00
0 63.8 15.95 200.00
0 63.9 16.23 200.00
0 64.0 16.50 200.00
0 64.0 16.78 200.00
0 64.1 17.05 200.00
0 64.2 17.33 200.00
0 64.2 17.60 200.00
0 64.3 17.88 200.00
0 64.4 18.15 200.00
0 64.4 18.43 200.00
0 64.5 18.70 200.00
0 64.6 18.97 200.00
0 64.6 19.25 200.00
0 64.7 19.52 200.00
0 64.8 19.80 200.00
0 64.8 20.07 200.00
0 64.9 20.35 200.00
0 65.0 20.62 200.00
0 65.0 20.90 200.00
0 65.1 21.17 200.00
0 65.1 21.45 200.00
0 65.2 21.72 200.00
0 65.3 22.00 200.00
0 65.3 22.27 200.00
0 65.4 22.55 200.00
0 65.5 22.82 200.00
0 65.5 23.10 200.00
0 65.6 23.37 200.00
0 65.7 23.65 200.00
0 65.7 23.92 200.00
0 65.8 24.20 200.00
0 65.9 24.47 200.00
0 65.9 24.75 200.00
0 66.0 25.02 200.00
0 66.1 25.30 200.00
0 66.1 25.57 200.00
0 66.2 25.85 200.00
0 66.3 26.12 200.00
0 66.3 26.40 200.00
0 66.4 26.67 200.00
0 66.5 26.95 200.00
0 66.5 27.22 200.00
0 66.6 27.50 200.00
0 66.7 27.77 200.00
0 66.7 28.05 200.00
0 66.8 28.32 200.00
0 66.9 28.60 200.00
0 66.9 28.87 200.00
0 67.0 29.15 200.00
0 67.1 29.42 200.00
0 67.1 29.70 200.00
0 67.2 29.97 200.00
0 67.3 30.25 200.00
0 67.3 30.52 200.00
0 67.4 30.80 200.00
0 67.5 31.07 200.00
0 67.5 31.35 200.00
0 67.6 31.62 200.00
0 67.7 31.90 200.00
0 67.7 32.17 200.00
0 67.8 32.45 200.00
0 67.9 32.72 200.00
0 67.9 33.00 200.00
0 68.0 33.27 200.00
0 68.1 33.55 200.00
0 68.1 33.82 200.00
0 68.2 34.10 200.00
0 68.3 34.37 200.00
0 68.3 34.65 200.00
0 68.4 34.92 200.00
0 68.4 35.20 200.00
0 68.5 35.47 200.00
0 68.6 35.75 200.00
0 68.6 36.02 200.00
0 68.7 36.30 200.00
0 68.8 36.57 200.00
0 68.8 36.85 200.00
0 68.9 37.12 200.00
0 69.0 37.40 200.00
0 69.0 37.67 200.00
0 69.1 37.95 200.00
0 69.2 38.22 200.00
0 69.2 38.50 200.00
0 69.3 38.77 200.00
0 69.4 39.05 200.00
0 69.4 39.32 200.00
0 69.5 39.60 200.00
0 69.6 39.87 200.00
0 69.6 40.15 200.00
0 69.7 40.42 200.00
0 69.8 40.70 200.00
0 69.8 40.97 200.00
0 69.9 41.25 200.00
0 70.0 41.52 200.00
0 70.0 41.80 200.00
0 70.1 42.07 200.00
0 70.2 42.35 200.00
0 70.2 42.62 200.00
0 70.3 42.90 200.00
0 70.4 43.17 200.00
0 70.4 43.45 200.00
0 70.5 43.72 200.00
0 70.6 44.00 200.00
0 70.6 44.27 200.00
0 70.7 44.55 200.00
0 70.8 44.82 200.00
0 70.8 45.10 200.00
0 70.9 45.37 200.00
0 71.0 45.65 200.00
0 71.0 45.92 200.00
0 71.1 46.20 200.00
0 71.2 46.47 200.00
0 71.2 46.75 200.00
0 71.3 47.02 200.00
0 71.4 47.30 200.00
0 71.4 47.57 200.00
0 71.5 47.85 200.00
0 71.6 48.12 200.00
0 71.6 48.40 200.00
0 71.7 48.67 200.00
0 71.7 48.95 200.00
0 71.8 49.22 200.00
0 71.9 49.50 200.00
0 71.9 49.77 200.00
0 72.0 50.05 200.00
0 72.1 50.32 200.00
0 72.1 50.60 200.00
0 72.2 50.87 200.00
0 72.3 51.15 200.00
0 72.3 51.42 200.00
0 72.4 51.70 200.00
0 72.5 51.97 200.00
0 72.5 52.25 200.00
0 72.6 52.52 200.00
0 72.7 52.80 200.00
0 72.7 53.07 200.00
0 72.8 53.35 200.00
0 72.9 53.62 200.00
0 72.9 53.90 200.00
0 73.0 54.17 200.00
0 73.1 54.45 200.00
0 73.1 54.72 200.00
0 73.2 55.00 200.00
0 73.3 55.27 200.00
0 73.3 55.55 200.00
0 73.4 55.82 200.00
0 73.5 56.10 200.00
0 73.5 56.37 200.00
0 73.6 56.65 200.00
0 73.7 56.92 200.00
0 73.7 57.20 200.00
0 73.8 57.47 200.00
0 73.9 57.75 200.00
0 73.9 58.02 200.00
0 74.0 58.30 200.00
0 74.1 58.57 200.00
0 74.1 58.85 200.00
