#node time(s) x y
1 0.0 0.0 0.0
0 0.0 600.00 200.00
0 60.0 599.73 200.00
0 60.1 599.45 200.00
0 60.1 599.18 200.00
0 60.2 598.90 200.00
0 60.2 598.63 200.00
0 60.3 598.35 200.00
0 60.3 598.08 200.00
0 60.4 597.80 200.00
0 60.4 597.53 200.00
0 60.5 597.25 200.00
0 60.5 596.98 200.00
0 60.6 596.70 200.00
0 60.6 596.43 200.00
0 60.7 596.15 200.00
0 60.7 595.88 200.00
0 60.8 595.60 200.00
0 60.8 595.33 200.00
0 60.9 595.05 200.00
0 60.9 594.78 200.00
0 61.0 594.50 200.00
0 61.0 594.23 200.00
0 61.1 593.95 200.00
0 61.1 593.68 200.00
0 61.2 593.40 200.00
0 61.2 593.13 200.00
0 61.3 592.85 200.00
0 61.3 592.58 200.00
0 61.4 592.30 200.00
0 61.4 592.03 200.00
0 61.5 591.75 200.00
0 61.5 591.48 200.00
0 61.6 591.20 200.00
0 61.6 590.93 200.00
0 61.7 590.65 200.00
0 61.7 590.38 200.00
0 61.8 590.10 200.00
0 61.8 589.83 200.00
0 61.9 589.55 200.00
0 61.9 589.28 200.00
0 62.0 589.00 200.00
0 62.0 588.73 200.00
0 62.1 588.45 200.00
0 62.1 588.18 200.00
0 62.2 587.90 200.00
0 62.2 587.63 200.00
0 62.3 587.35 200.00
0 62.3 587.08 200.00
0 62.4 586.80 200.00
0 62.4 586.53 200.00
0 62.5 586.25 200.00
0 62.5 585.98 200.00
0 62.6 585.70 200.00
0 62.6 585.43 200.00
0 62.7 585.15 200.00
0 62.7 584.88 200.00
0 62.8 584.60 200.00
0 62.8 584.33 200.00
0 62.9 584.05 200.00
0 62.9 583.78 200.00
0 63.0 583.50 200.00
0 63.0 583.23 200.00
0 63.1 582.95 200.00
0 63.1 582.68 200.00
0 63.2 582.40 200.00
0 63.2 582.13 200.00
0 63.3 581.85 200.00
0 63.3 581.58 200.00
0 63.4 581.30 200.00
0 63.4 581.03 200.00
0 63.5 580.75 200.00
0 63.5 580.48 200.00
0 63.6 580.20 200.00
0 63.6 579.93 200.00
0 63.7 579.65 200.00
0 63.7 579.38 200.00
0 63.8 579.10 200.00
0 63.8 578.83 200.00
0 63.9 578.55 200.00
0 63.9 578.28 200.00
0 64.0 578.00 200.00
0 64.0 577.73 200.00
0 64.1 577.45 200.00
0 64.1 577.18 200.00
