#node time(s) x y
0 0.0 210.0 100.0
1 0.0 160.0 170.0
2 0.0 260.0 170.0
3 0.0 140.0 240.0
4 0.0 280.0 240.0
5 0.0 10.00 300.00
5 80.0 10.28 300.00
5 80.1 10.55 300.00
5 80.1 10.83 300.00
5 80.2 11.10 300.00
5 80.2 11.38 300.00
5 80.3 11.65 300.00
5 80.3 11.93 300.00
5 80.4 12.20 300.00
5 80.4 12.48 300.00
5 80.5 12.75 300.00
5 80.5 13.03 300.00
5 80.6 13.30 300.00
5 80.6 13.58 300.00
5 80.7 13.85 300.00
5 80.7 14.13 300.00
5 80.8 14.40 300.00
5 80.8 14.68 300.00
5 80.9 14.95 300.00
5 80.9 15.23 300.00
5 81.0 15.50 300.00
5 81.0 15.78 300.00
5 81.1 16.05 300.00
5 81.1 16.33 300.00
5 81.2 16.60 300.00
5 81.2 16.88 300.00
5 81.3 17.15 300.00
5 81.3 17.43 300.00
5 81.4 17.70 300.00
5 81.4 17.97 300.00
5 81.5 18.25 300.00
5 81.5 18.52 300.00
5 81.6 18.80 300.00
5 81.6 19.07 300.00
5 81.7 19.35 300.00
5 81.7 19.62 300.00
5 81.8 19.90 300.00
5 81.8 20.17 300.00
5 81.9 20.45 300.00
5 81.9 20.72 300.00
5 82.0 21.00 300.00
5 82.0 21.27 300.00
5 82.1 21.55 300.00
5 82.1 21.82 300.00
5 82.2 22.10 300.00
5 82.2 22.37 300.00
5 82.3 22.65 300.00
5 82.3 22.92 300.00
5 82.4 23.20 300.00
5 82.4 23.47 300.00
5 82.5 23.75 300.00
5 82.5 24.02 300.00
5 82.6 24.30 300.00
5 82.6 24.57 300.00
5 82.7 24.85 300.00
5 82.7 25.12 300.00
5 82.8 25.40 300.00
5 82.8 25.67 300.00
5 82.9 25.95 300.00
5 82.9 26.22 300.00
5 83.0 26.50 300.00
5 83.0 26.77 300.00
5 83.1 27.05 300.00
5 83.1 27.32 300.00
5 83.2 27.60 300.00
5 83.2 27.87 300.00
5 83.3 28.15 300.00
5 83.3 28.42 300.00
5 83.4 28.70 300.00
5 83.4 28.97 300.00
5 83.5 29.25 300.00
5 83.5 29.52 300.00
5 83.6 29.80 300.00
5 83.6 30.07 300.00
5 83.7 30.35 300.00
5 83.7 30.62 300.00
5 83.8 30.90 300.00
5 83.8 31.17 300.00
5 83.9 31.45 300.00
5 83.9 31.72 300.00
5 84.0 32.00 300.00
5 84.0 32.27 300.00
5 84.1 32.55 300.00
5 84.1 32.82 300.00
5 84.2 33.10 300.00
5 84.2 33.37 300.00
5 84.3 33.65 300.00
5 84.3 33.92 300.00
5 84.4 34.20 300.00
5 84.4 34.47 300.00
5 84.5 34.75 300.00
5 84.5 35.02 300.00
5 84.6 35.30 300.00
5 84.6 35.57 300.00
5 84.7 35.85 300.00
5 84.7 36.12 300.00
5 84.8 36.40 300.00
5 84.8 36.67 300.00
5 84.9 36.95 300.00
5 84.9 37.22 300.00
5 85.0 37.50 300.00
5 85.0 37.77 300.00
5 85.1 38.05 300.00
5 85.1 38.32 300.00
5 85.2 38.60 300.00
5 85.2 38.87 300.00
5 85.3 39.15 300.00
5 85.3 39.42 300.00
5 85.4 39.70 300.00
5 85.4 39.97 300.00
5 85.5 40.25 300.00
5 85.5 40.52 300.00
5 85.6 40.80 300.00
5 85.6 41.07 300.00
5 85.7 41.35 300.00
5 85.7 41.62 300.00
5 85.8 41.90 300.00
5 85.8 42.17 300.00
5 85.9 42.45 300.00
5 85.9 42.72 300.00
5 86.0 43.00 300.00
5 86.0 43.27 300.00
5 86.1 43.55 300.00
5 86.1 43.82 300.00
5 86.2 44.10 300.00
5 86.2 44.37 300.00
5 86.3 44.65 300.00
5 86.3 44.92 300.00
5 86.4 45.20 300.00
5 86.4 45.47 300.00
5 86.5 45.75 300.00
5 86.5 46.02 300.00
5 86.6 46.30 300.00
5 86.6 46.57 300.00
5 86.7 46.85 300.00
5 86.7 47.12 300.00
5 86.8 47.40 300.00
5 86.8 47.67 300.00
5 86.9 47.95 300.00
5 86.9 48.22 300.00
5 87.0 48.50 300.00
5 87.0 48.77 300.00
5 87.1 49.05 300.00
5 87.1 49.32 300.00
5 87.2 49.60 300.00
5 87.2 49.87 300.00
5 87.3 50.15 300.00
5 87.3 50.42 300.00
5 87.4 50.70 300.00
5 87.4 50.97 300.00
5 87.5 51.25 300.00
5 87.5 51.52 300.00
5 87.6 51.80 300.00
5 87.6 52.07 300.00
5 87.7 52.35 300.00
5 87.7 52.62 300.00
5 87.8 52.90 300.00
5 87.8 53.17 300.00
5 87.9 53.45 300.00
5 87.9 53.72 300.00
5 88.0 54.00 300.00
5 88.0 54.27 300.00
5 88.1 54.55 300.00
5 88.1 54.82 300.00
5 88.2 55.10 300.00
5 88.2 55.37 300.00
5 88.3 55.65 300.00
5 88.3 55.92 300.00
5 88.4 56.20 300.00
5 88.4 56.47 300.00
5 88.5 56.75 300.00
5 88.5 57.02 300.00
5 88.6 57.30 300.00
5 88.6 57.57 300.00
5 88.7 57.85 300.00
5 88.7 58.12 300.00
5 88.8 58.40 300.00
5 88.8 58.67 300.00
5 88.9 58.95 300.00
5 88.9 59.22 300.00
5 89.0 59.50 300.00
5 89.0 59.77 300.00
5 89.1 60.05 300.00
5 89.1 60.32 300.00
5 89.2 60.60 300.00
5 89.2 60.87 300.00
5 89.3 61.15 300.00
5 89.3 61.42 300.00
5 89.4 61.70 300.00
5 89.4 61.97 300.00
5 89.5 62.25 300.00
