#node time(s) x y
0 0.0 0.0000 0.0000
1 0.0 0.0000 75.0000
2 0.0 0.0000 150.0000
3 0.0 0.0000 225.0000
4 0.0 75.0000 0.0000
5 0.0 75.0000 75.0000
6 0.0 75.0000 150.0000
7 0.0 75.0000 225.0000
8 0.0 150.0000 0.0000
9 0.0 150.0000 75.0000
10 0.0 150.0000 150.0000
11 0.0 150.0000 225.0000
12 0.0 225.0000 0.0000
13 0.0 225.0000 75.0000
14 0.0 225.0000 150.0000
15 0.0 225.0000 225.0000
16 0.0 -75.000 0.0
17 0.0 -75.000 75.0
18 0.0 -75.000 150.0
19 0.0 -75.000 225.0
20 0.0 -150.0 0.0
21 0.0 -150.0 75.0
22 0.0 -150.0 150.0
23 0.0 -150.0 225.0
24 0.0 -225.0 0.0
25 0.0 -225.0 75.0
26 0.0 -225.0 150.0
27 0.0 -225.0 225.0
15 60.2 224.72 225.00
15 60.4 224.45 225.00
15 60.6 224.17 225.00
15 60.8 223.90 225.00
15 61.0 223.62 225.00
15 61.2 223.35 225.00
15 61.4 223.07 225.00
15 61.6 222.80 225.00
15 61.8 222.52 225.00
15 62.0 222.25 225.00
15 62.2 221.97 225.00
15 62.4 221.70 225.00
15 62.6 221.42 225.00
15 62.8 221.15 225.00
15 63.0 220.87 225.00
15 63.2 220.60 225.00
15 63.4 220.32 225.00
15 63.6 220.05 225.00
15 63.8 219.77 225.00
15 64.0 219.50 225.00
15 64.2 219.22 225.00
15 64.4 218.95 225.00
15 64.6 218.67 225.00
15 64.8 218.40 225.00
15 65.0 218.12 225.00
15 65.2 217.85 225.00
15 65.4 217.57 225.00
15 65.6 217.30 225.00
15 65.8 217.02 225.00
15 66.0 216.75 225.00
15 66.2 216.47 225.00
15 66.4 216.20 225.00
15 66.6 215.92 225.00
15 66.8 215.65 225.00
15 67.0 215.37 225.00
15 67.2 215.10 225.00
15 67.4 214.82 225.00
15 67.6 214.55 225.00
15 67.8 214.27 225.00
15 68.0 214.00 225.00
15 68.2 213.72 225.00
15 68.4 213.45 225.00
15 68.6 213.17 225.00
15 68.8 212.90 225.00
15 69.0 212.62 225.00
15 69.2 212.35 225.00
15 69.4 212.07 225.00
15 69.6 211.80 225.00
15 69.8 211.52 225.00
15 70.0 211.25 225.00
15 70.2 210.97 225.00
15 70.4 210.70 225.00
15 70.6 210.42 225.00
