#node time(s) x y
0 0.0 120.0 100.0
1 0.0 120.0 140.0
2 0.0 90.0 160.0
3 0.0 150.0 160.0
4 0.0 80.0 200.0
5 0.0 160.0 200.0
6 0.0 150.0 220.0
7 0.0 90.0 260.0
8 0.0 160.0 260.0
9 0.0 80.0 180.0
10 0.0 80.0 190.0
11 0.0 70.0 230.0
12 0.0 80.0 230.0
13 0.0 105.0 250.0
14 0.0 140.0 250.0
15 0.0 200.00 200.00
15 60.0 199.99 199.98
15 60.1 199.98 199.96
15 60.1 199.97 199.94
15 60.2 199.96 199.92
15 60.2 199.95 199.90
15 60.3 199.94 199.88
15 60.3 199.93 199.86
15 60.4 199.92 199.84
15 60.4 199.91 199.82
15 60.5 199.90 199.80
15 60.5 199.89 199.78
15 60.6 199.88 199.76
15 60.6 199.87 199.74
15 60.7 199.86 199.72
15 60.7 199.85 199.70
15 60.8 199.84 199.68
15 60.8 199.83 199.66
15 60.9 199.82 199.64
15 60.9 199.81 199.62
15 61.0 199.80 199.60
15 61.0 199.79 199.58
15 61.1 199.78 199.56
15 61.1 199.77 199.54
15 61.2 199.76 199.52
15 61.2 199.75 199.50
15 61.3 199.74 199.48
15 61.3 199.73 199.46
15 61.4 199.72 199.44
15 61.4 199.71 199.42
15 61.5 199.70 199.40
15 61.5 199.69 199.38
15 61.6 199.68 199.36
15 61.6 199.67 199.34
15 61.7 199.66 199.32
15 61.7 199.65 199.30
15 61.8 199.64 199.28
15 61.8 199.63 199.26
15 61.9 199.62 199.24
15 61.9 199.61 199.22
15 62.0 199.60 199.20
15 62.0 199.59 199.18
15 62.1 199.58 199.16
15 62.1 199.57 199.14
15 62.2 199.56 199.12
15 62.2 199.55 199.10
15 62.3 199.54 199.08
15 62.3 199.53 199.06
15 62.4 199.52 199.04
15 62.4 199.51 199.02
15 62.5 199.50 199.00
15 62.5 199.49 198.98
15 62.6 199.48 198.96
15 62.6 199.47 198.94
15 62.7 199.46 198.92
15 62.7 199.45 198.90
15 62.8 199.44 198.88
15 62.8 199.43 198.86
15 62.9 199.42 198.84
15 62.9 199.41 198.82
15 63.0 199.40 198.80
15 63.0 199.39 198.78
15 63.1 199.38 198.76
15 63.1 199.37 198.74
15 63.2 199.36 198.72
15 63.2 199.35 198.70
15 63.3 199.34 198.68
15 63.3 199.33 198.66
15 63.4 199.32 198.64
15 63.4 199.31 198.62
15 63.5 199.30 198.60
15 63.5 199.29 198.58
15 63.6 199.28 198.56
15 63.6 199.27 198.54
15 63.7 199.26 198.52
15 63.7 199.25 198.50
15 63.8 199.24 198.48
15 63.8 199.23 198.46
15 63.9 199.22 198.44
15 63.9 199.21 198.42
15 64.0 199.20 198.40
15 64.0 199.19 198.38
15 64.1 199.18 198.36
15 64.1 199.17 198.34
15 64.2 199.16 198.32
15 64.2 199.15 198.30
15 64.3 199.14 198.28
15 64.3 199.13 198.26
15 64.4 199.12 198.24
15 64.4 199.11 198.22
15 64.5 199.10 198.20
15 64.5 199.09 198.18
15 64.6 199.08 198.16
15 64.6 199.07 198.14
15 64.7 199.06 198.12
15 64.7 199.05 198.10
15 64.8 199.04 198.08
15 64.8 199.03 198.06
15 64.9 199.02 198.04
15 64.9 199.01 198.02
15 65.0 199.00 198.00
15 65.0 198.99 197.98
15 65.1 198.98 197.96
15 65.1 198.97 197.94
15 65.2 198.96 197.92
15 65.2 198.95 197.90
15 65.3 198.94 197.88
15 65.3 198.93 197.86
15 65.4 198.92 197.84
15 65.4 198.91 197.82
15 65.5 198.90 197.80
15 65.5 198.89 197.78
15 65.6 198.88 197.76
15 65.6 198.87 197.74
15 65.7 198.86 197.72
15 65.7 198.85 197.70
15 65.8 198.84 197.68
15 65.8 198.83 197.66
15 65.9 198.82 197.64
15 65.9 198.81 197.62
15 66.0 198.80 197.60
15 66.0 198.79 197.58
15 66.1 198.78 197.56
15 66.1 198.77 197.54
15 66.2 198.76 197.52
15 66.2 198.75 197.50
15 66.3 198.74 197.48
15 66.3 198.73 197.46
15 66.4 198.72 197.44
15 66.4 198.71 197.42
15 66.5 198.70 197.40
15 66.5 198.69 197.38
15 66.6 198.68 197.36
15 66.6 198.67 197.34
15 66.7 198.66 197.32
15 66.7 198.65 197.30
15 66.8 198.64 197.28
15 66.8 198.63 197.26
15 66.9 198.62 197.24
15 66.9 198.61 197.22
15 67.0 198.60 197.20
15 67.0 198.59 197.18
15 67.1 198.58 197.16
15 67.1 198.57 197.14
15 67.2 198.56 197.12
15 67.2 198.55 197.10
15 67.3 198.54 197.08
15 67.3 198.53 197.06
15 67.4 198.52 197.04
15 67.4 198.51 197.02
15 67.5 198.50 197.00
15 67.5 198.49 196.98
15 67.6 198.48 196.96
15 67.6 198.47 196.94
15 67.7 198.46 196.92
15 67.7 198.45 196.90
15 67.8 198.44 196.88
15 67.8 198.43 196.86
15 67.9 198.42 196.84
15 67.9 198.41 196.82
15 68.0 198.40 196.80
15 68.0 198.39 196.78
15 68.1 198.38 196.76
15 68.1 198.37 196.74
15 68.2 198.36 196.72
15 68.2 198.35 196.70
15 68.3 198.34 196.68
15 68.3 198.33 196.66
15 68.4 198.32 196.64
15 68.4 198.31 196.62
15 68.5 198.30 196.60
15 68.5 198.29 196.58
15 68.6 198.28 196.56
15 68.6 198.27 196.54
15 68.7 198.26 196.52
15 68.7 198.25 196.50
15 68.8 198.24 196.48
15 68.8 198.23 196.46
15 68.9 198.22 196.44
15 68.9 198.21 196.42
15 69.0 198.20 196.40
15 69.0 198.19 196.38
15 69.1 198.18 196.36
15 69.1 198.17 196.34
15 69.2 198.16 196.32
15 69.2 198.15 196.30
15 69.3 198.14 196.28
15 69.3 198.13 196.26
15 69.4 198.12 196.24
15 69.4 198.11 196.22
15 69.5 198.10 196.20
15 69.5 198.09 196.18
15 69.6 198.08 196.16
15 69.6 198.07 196.14
15 69.7 198.06 196.12
15 69.7 198.05 196.10
15 69.8 198.04 196.08
15 69.8 198.03 196.06
15 69.9 198.02 196.04
15 69.9 198.01 196.02
15 70.0 198.00 196.00
15 70.0 197.99 195.98
15 70.1 197.98 195.96
15 70.1 197.97 195.94
15 70.2 197.96 195.92
15 70.2 197.95 195.90
15 70.3 197.94 195.88
15 70.3 197.93 195.86
15 70.4 197.92 195.84
15 70.4 197.91 195.82
15 70.5 197.90 195.80
15 70.5 197.89 195.78
15 70.6 197.88 195.76
15 70.6 197.87 195.74
15 70.7 197.86 195.72
15 70.7 197.85 195.70
15 70.8 197.84 195.68
15 70.8 197.83 195.66
15 70.9 197.82 195.64
15 70.9 197.81 195.62
15 71.0 197.80 195.60
15 71.0 197.79 195.58
15 71.1 197.78 195.56
15 71.1 197.77 195.54
15 71.2 197.76 195.52
15 71.2 197.75 195.50
15 71.3 197.74 195.48
15 71.3 197.73 195.46
15 71.4 197.72 195.44
15 71.4 197.71 195.42
15 71.5 197.70 195.40
15 71.5 197.69 195.38
15 71.6 197.68 195.36
15 71.6 197.67 195.34
15 71.7 197.66 195.32
15 71.7 197.65 195.30
15 71.8 197.64 195.28
15 71.8 197.63 195.26
15 71.9 197.62 195.24
