#node time(s) x y
0 0.0 100.0 0.0
0 0.2 100.0 0.2
0 0.4 100.0 0.4
0 0.6 100.0 0.6
0 0.8 100.0 0.8
0 1.0 100.0 1.0
0 1.2 100.0 1.2
0 1.4 100.0 1.4
0 1.6 100.0 1.6
0 1.8 100.0 1.8
0 2.0 100.0 2.0
0 2.2 100.0 2.2
0 2.4 100.0 2.4
0 2.6 100.0 2.6
0 2.8 100.0 2.8
0 3.0 100.0 3.0
0 3.2 100.0 3.2
0 3.4 100.0 3.4
0 3.6 100.0 3.6
0 3.8 100.0 3.8
0 4.0 100.0 4.0
0 4.2 100.0 4.2
0 4.4 100.0 4.4
0 4.6 100.0 4.6
0 4.8 100.0 4.8
0 5.0 100.0 5.0
0 5.2 100.0 5.2
0 5.4 100.0 5.4
0 5.6 100.0 5.6
0 5.8 100.0 5.8
0 6.0 100.0 6.0
0 6.2 100.0 6.2
0 6.4 100.0 6.4
0 6.6 100.0 6.6
0 6.8 100.0 6.8
0 7.0 100.0 7.0
0 7.2 100.0 7.2
0 7.4 100.0 7.4
0 7.6 100.0 7.6
0 7.8 100.0 7.8
0 8.0 100.0 8.0
0 8.2 100.0 8.2
0 8.4 100.0 8.4
0 8.6 100.0 8.6
0 8.8 100.0 8.8
0 9.0 100.0 9.0
0 9.2 100.0 9.2
0 9.4 100.0 9.4
0 9.6 100.0 9.6
0 9.8 100.0 9.8
0 10.0 100.0 10.0
0 10.2 100.0 10.2
0 10.4 100.0 10.4
0 10.6 100.0 10.6
0 10.8 100.0 10.8
0 11.0 100.0 11.0
0 11.2 100.0 11.2
0 11.4 100.0 11.4
0 11.6 100.0 11.6
0 11.8 100.0 11.8
0 12.0 100.0 12.0
0 12.2 100.0 12.2
0 12.4 100.0 12.4
0 12.6 100.0 12.6
0 12.8 100.0 12.8
0 13.0 100.0 13.0
0 13.2 100.0 13.2
0 13.4 100.0 13.4
0 13.6 100.0 13.6
0 13.8 100.0 13.8
0 14.0 100.0 14.0
0 14.2 100.0 14.2
0 14.4 100.0 14.4
0 14.6 100.0 14.6
0 14.8 100.0 14.8
0 15.0 100.0 15.0
0 15.2 100.0 15.2
0 15.4 100.0 15.4
0 15.6 100.0 15.6
0 15.8 100.0 15.8
0 16.0 100.0 16.0
0 16.2 100.0 16.2
0 16.4 100.0 16.4
0 16.6 100.0 16.6
0 16.8 100.0 16.8
0 17.0 100.0 17.0
0 17.2 100.0 17.2
0 17.4 100.0 17.4
0 17.6 100.0 17.6
0 17.8 100.0 17.8
0 18.0 100.0 18.0
0 18.2 100.0 18.2
0 18.4 100.0 18.4
0 18.6 100.0 18.6
0 18.8 100.0 18.8
0 19.0 100.0 19.0
0 19.2 100.0 19.2
0 19.4 100.0 19.4
0 19.6 100.0 19.6
0 19.8 100.0 19.8
0 20.0 100.0 20.0
0 20.2 100.0 20.2
0 20.4 100.0 20.4
0 20.6 100.0 20.6
0 20.8 100.0 20.8
0 21.0 100.0 21.0
0 21.2 100.0 21.2
0 21.4 100.0 21.4
0 21.6 100.0 21.6
0 21.8 100.0 21.8
0 22.0 100.0 22.0
0 22.2 100.0 22.2
0 22.4 100.0 22.4
0 22.6 100.0 22.6
0 22.8 100.0 22.8
0 23.0 100.0 23.0
0 23.2 100.0 23.2
0 23.4 100.0 23.4
0 23.6 100.0 23.6
0 23.8 100.0 23.8
0 24.0 100.0 24.0
0 24.2 100.0 24.2
0 24.4 100.0 24.4
0 24.6 100.0 24.6
0 24.8 100.0 24.8
