#node time(s) x y
1 0.0 225.00 225.00
2 0.0 0.00 0.00
3 0.0 0.00 75.00
4 0.0 0.00 150.00
5 0.0 0.00 225.00
6 0.0 0.00 300.00
7 0.0 0.00 375.00
8 0.0 0.00 450.00
9 0.0 75.00 0.00
10 0.0 75.00 75.00
11 0.0 75.00 150.00
12 0.0 75.00 225.00
13 0.0 75.00 300.00
14 0.0 75.00 375.00
15 0.0 75.00 450.00
16 0.0 150.00 0.00
17 0.0 150.00 75.00
18 0.0 150.00 150.00
19 0.0 150.00 225.00
20 0.0 150.00 300.00
21 0.0 150.00 375.00
22 0.0 150.00 450.00
23 0.0 225.00 0.00
24 0.0 225.00 75.00
25 0.0 225.00 150.00
26 0.0 225.00 300.00
27 0.0 225.00 375.00
28 0.0 225.00 450.00
29 0.0 300.00 0.00
30 0.0 300.00 75.00
31 0.0 300.00 150.00
32 0.0 300.00 225.00
33 0.0 300.00 300.00
34 0.0 300.00 375.00
35 0.0 300.00 450.00
36 0.0 375.00 0.00
37 0.0 375.00 75.00
38 0.0 375.00 150.00
39 0.0 375.00 225.00
40 0.0 375.00 300.00
41 0.0 375.00 375.00
42 0.0 375.00 450.00
43 0.0 450.00 0.00
44 0.0 450.00 75.00
45 0.0 450.00 150.00
46 0.0 450.00 225.00
47 0.0 450.00 300.00
48 0.0 450.00 375.00
49 0.0 450.00 450.00
0 0.0 184.00 149.00
0 60.10 184.24 149.34
0 60.20 184.47 149.68
0 60.30 184.71 150.03
0 60.40 184.95 150.37
0 60.50 185.19 150.71
0 60.60 185.42 151.05
0 60.70 185.66 151.40
0 60.80 185.90 151.74
0 60.90 186.14 152.08
0 61.00 186.37 152.42
0 61.10 186.61 152.77
0 61.20 186.85 153.11
0 61.30 187.08 153.45
0 61.40 187.32 153.79
0 61.50 187.56 154.14
0 61.60 187.80 154.48
0 61.70 188.03 154.82
0 61.80 188.27 155.16
0 61.90 188.51 155.51
0 62.00 188.75 155.85
0 62.10 188.98 156.19
0 62.20 189.22 156.53
0 62.30 189.46 156.88
0 62.40 189.70 157.22
0 62.50 189.93 157.56
0 62.60 190.17 157.90
0 62.70 190.41 158.25
0 62.80 190.64 158.59
0 62.90 190.88 158.93
0 63.00 191.12 159.27
0 63.10 191.36 159.62
0 63.20 191.59 159.96
0 63.30 191.83 160.30
0 63.40 192.07 160.64
0 63.50 192.31 160.99
0 63.60 192.54 161.33
0 63.70 192.78 161.67
0 63.80 193.02 162.01
0 63.90 193.25 162.36
0 64.00 193.49 162.70
0 64.10 193.73 163.04
0 64.20 193.97 163.38
0 64.30 194.20 163.73
0 64.40 194.44 164.07
0 64.50 194.68 164.41
0 64.60 194.92 164.75
0 64.70 195.15 165.10
0 64.80 195.39 165.44
0 64.90 195.63 165.78
0 65.00 195.86 166.12
0 65.10 196.10 166.47
0 65.20 196.34 166.81
0 65.30 196.58 167.15
0 65.40 196.81 167.49
0 65.50 197.05 167.84
0 65.60 197.29 168.18
0 65.70 197.53 168.52
0 65.80 197.76 168.86
0 65.90 198.00 169.21
0 66.00 198.24 169.55
0 66.10 198.48 169.89
0 66.20 198.71 170.23
0 66.30 198.95 170.58
0 66.40 199.19 170.92
0 66.50 199.42 171.26
0 66.60 199.66 171.60
0 66.70 199.90 171.95
0 66.80 200.14 172.29
0 66.90 200.37 172.63
0 67.00 200.61 172.97
0 67.10 200.85 173.32
0 67.20 201.09 173.66
0 67.30 201.32 174.00
0 67.40 201.56 174.34
0 67.50 201.80 174.69
0 67.60 202.03 175.03
0 67.70 202.27 175.37
0 67.80 202.51 175.71
0 67.90 202.75 176.06
0 68.00 202.98 176.40
0 68.10 203.22 176.74
0 68.20 203.46 177.08
0 68.30 203.70 177.43
0 68.40 203.93 177.77
0 68.50 204.17 178.11
0 68.60 204.41 178.45
0 68.70 204.64 178.80
0 68.80 204.88 179.14
0 68.90 205.12 179.48
0 69.00 205.36 179.82
0 69.10 205.59 180.17
0 69.20 205.83 180.51
0 69.30 206.07 180.85
0 69.40 206.31 181.19
0 69.50 206.54 181.54
0 69.60 206.78 181.88
0 69.70 207.02 182.22
0 69.80 207.26 182.56
0 69.90 207.49 182.91
0 70.00 207.73 183.25
0 70.10 207.97 183.59
0 70.20 208.20 183.93
0 70.30 208.44 184.28
0 70.40 208.68 184.62
0 70.50 208.92 184.96
0 70.60 209.15 185.30
0 70.70 209.39 185.65
0 70.80 209.63 185.99
0 70.90 209.87 186.33
0 71.00 210.10 186.67
0 71.10 210.34 187.02
0 71.20 210.58 187.36
0 71.30 210.81 187.70
0 71.40 211.05 188.04
0 71.50 211.29 188.39
0 71.60 211.53 188.73
0 71.70 211.76 189.07
0 71.80 212.00 189.41
0 71.90 212.24 189.76
0 72.00 212.48 190.10
0 72.10 212.71 190.44
0 72.20 212.95 190.78
0 72.30 213.19 191.13
0 72.40 213.42 191.47
0 72.50 213.66 191.81
0 72.60 213.90 192.15
0 72.70 214.14 192.50
0 72.80 214.37 192.84
0 72.90 214.61 193.18
0 73.00 214.85 193.52
0 73.10 215.09 193.87
0 73.20 215.32 194.21
0 73.30 215.56 194.55
0 73.40 215.80 194.89
0 73.50 216.04 195.24
0 73.60 216.27 195.58
0 73.70 216.51 195.92
0 73.80 216.75 196.26
0 73.90 216.98 196.61
0 74.00 217.22 196.95
0 74.10 217.46 197.29
0 74.20 217.70 197.63
0 74.30 217.93 197.98
0 74.40 218.17 198.32
0 74.50 218.41 198.66
0 74.60 218.65 199.00
0 74.70 218.88 199.35
0 74.80 219.12 199.69
0 74.90 219.36 200.03
0 75.00 219.59 200.37
0 75.10 219.83 200.72
0 75.20 220.07 201.06
0 75.30 220.31 201.40
0 75.40 220.54 201.74
0 75.50 220.78 202.09
0 75.60 221.02 202.43
0 75.70 221.26 202.77
0 75.80 221.49 203.11
0 75.90 221.73 203.46
0 76.00 221.97 203.80
0 76.10 222.20 204.14
0 76.20 222.44 204.48
0 76.30 222.68 204.83
0 76.40 222.92 205.17
0 76.50 223.15 205.51
0 76.60 223.39 205.85
0 76.70 223.63 206.20
0 76.80 223.87 206.54
0 76.90 224.10 206.88
0 77.00 224.34 207.22
0 77.10 224.58 207.57
0 77.20 224.82 207.91
0 77.30 225.05 208.25
0 77.40 225.29 208.59
0 77.50 225.53 208.94
0 77.60 225.76 209.28
0 77.70 226.00 209.62
0 77.80 226.24 209.96
0 77.90 226.48 210.31
0 78.00 226.71 210.65
0 78.10 226.95 210.99
0 78.20 227.19 211.33
0 78.30 227.43 211.68
0 78.40 227.66 212.02
0 78.50 227.90 212.36
0 78.60 228.14 212.70
0 78.70 228.37 213.05
0 78.80 228.61 213.39
0 78.90 228.85 213.73
0 79.00 229.09 214.07
0 79.10 229.32 214.42
0 79.20 229.56 214.76
0 79.30 229.80 215.10
0 79.40 230.04 215.44
0 79.50 230.27 215.79
0 79.60 230.51 216.13
0 79.70 230.75 216.47
0 79.80 230.99 216.81
0 79.90 231.22 217.16
0 80.00 231.46 217.50
0 80.10 231.70 217.84
0 80.20 231.93 218.18
0 80.30 232.17 218.53
0 80.40 232.41 218.87
0 80.50 232.65 219.21
0 80.60 232.88 219.55
0 80.70 233.12 219.90
0 80.80 233.36 220.24
0 80.90 233.60 220.58
0 81.00 233.83 220.92
0 81.10 234.07 221.27
0 81.20 234.31 221.61
0 81.30 234.54 221.95
0 81.40 234.78 222.29
0 81.50 235.02 222.64
0 81.60 235.26 222.98
0 81.70 235.49 223.32
0 81.80 235.73 223.66
0 81.90 235.97 224.01
0 82.00 236.21 224.35
0 82.10 236.44 224.69
0 82.20 236.68 225.03
0 82.30 236.92 225.38
0 82.40 237.15 225.72
0 82.50 237.39 226.06
0 82.60 237.63 226.40
0 82.70 237.87 226.75
0 82.80 238.10 227.09
0 82.90 238.34 227.43
0 83.00 238.58 227.77
0 83.10 238.82 228.12
0 83.20 239.05 228.46
0 83.30 239.29 228.80
0 83.40 239.53 229.14
0 83.50 239.77 229.49
0 83.60 240.00 229.83
0 83.70 240.24 230.17
0 83.80 240.48 230.51
0 83.90 240.71 230.86
0 84.00 240.95 231.20
0 84.10 241.19 231.54
0 84.20 241.43 231.88
0 84.30 241.66 232.23
0 84.40 241.90 232.57
0 84.50 242.14 232.91
0 84.60 242.38 233.25
0 84.70 242.61 233.60
0 84.80 242.85 233.94
0 84.90 243.09 234.28
0 85.00 243.32 234.62
0 85.10 243.56 234.97
0 85.20 243.80 235.31
0 85.30 244.04 235.65
0 85.40 244.27 235.99
0 85.50 244.51 236.34
0 85.60 244.75 236.68
0 85.70 244.99 237.02
0 85.80 245.22 237.36
0 85.90 245.46 237.71
0 86.00 245.70 238.05
0 86.10 245.93 238.39
0 86.20 246.17 238.73
0 86.30 246.41 239.08
0 86.40 246.65 239.42
0 86.50 246.88 239.76
0 86.60 247.12 240.10
0 86.70 247.36 240.45
0 86.80 247.60 240.79
0 86.90 247.83 241.13
0 87.00 248.07 241.47
0 87.10 248.31 241.82
0 87.20 248.55 242.16
0 87.30 248.78 242.50
