#node time(s) x y
1 0.0 225.0000 225.0000
2 0.0 0.0000 0.0000
3 0.0 0.0000 75.0000
4 0.0 0.0000 150.0000
5 0.0 0.0000 225.0000
6 0.0 0.0000 300.0000
7 0.0 0.0000 375.0000
8 0.0 0.0000 450.0000
9 0.0 75.0000 0.0000
10 0.0 75.0000 75.0000
11 0.0 75.0000 150.0000
12 0.0 75.0000 225.0000
13 0.0 75.0000 300.0000
14 0.0 75.0000 375.0000
15 0.0 75.0000 450.0000
16 0.0 150.0000 0.0000
17 0.0 150.0000 75.0000
18 0.0 150.0000 150.0000
19 0.0 150.0000 225.0000
20 0.0 150.0000 300.0000
21 0.0 150.0000 375.0000
22 0.0 150.0000 450.0000
23 0.0 225.0000 0.0000
24 0.0 225.0000 75.0000
25 0.0 225.0000 150.0000
26 0.0 225.0000 300.0000
27 0.0 225.0000 375.0000
28 0.0 225.0000 450.0000
29 0.0 300.0000 0.0000
30 0.0 300.0000 75.0000
31 0.0 300.0000 150.0000
32 0.0 300.0000 225.0000
33 0.0 300.0000 300.0000
34 0.0 300.0000 375.0000
35 0.0 300.0000 450.0000
36 0.0 375.0000 0.0000
37 0.0 375.0000 75.0000
38 0.0 375.0000 150.0000
39 0.0 375.0000 225.0000
40 0.0 375.0000 300.0000
41 0.0 375.0000 375.0000
42 0.0 375.0000 450.0000
43 0.0 450.0000 0.0000
44 0.0 450.0000 75.0000
45 0.0 450.0000 150.0000
46 0.0 450.0000 225.0000
47 0.0 450.0000 300.0000
48 0.0 450.0000 375.0000
49 0.0 450.0000 450.0000
50 0.0 37.5000 37.5000
51 0.0 37.5000 112.5000
52 0.0 37.5000 187.5000
53 0.0 37.5000 262.5000
54 0.0 37.5000 337.5000
55 0.0 37.5000 412.5000
56 0.0 112.5000 37.5000
57 0.0 112.5000 112.5000
58 0.0 112.5000 187.5000
59 0.0 112.5000 262.5000
60 0.0 112.5000 337.5000
61 0.0 112.5000 412.5000
62 0.0 187.5000 37.5000
63 0.0 187.5000 112.5000
64 0.0 187.5000 187.5000
65 0.0 187.5000 262.5000
66 0.0 187.5000 337.5000
67 0.0 187.5000 412.5000
68 0.0 262.5000 37.5000
69 0.0 262.5000 112.5000
70 0.0 262.5000 187.5000
71 0.0 262.5000 262.5000
72 0.0 262.5000 337.5000
73 0.0 262.5000 412.5000
74 0.0 337.5000 37.5000
75 0.0 337.5000 112.5000
76 0.0 337.5000 187.5000
77 0.0 337.5000 262.5000
78 0.0 337.5000 337.5000
79 0.0 337.5000 412.5000
80 0.0 412.5000 37.5000
81 0.0 412.5000 112.5000
82 0.0 412.5000 187.5000
83 0.0 412.5000 262.5000
84 0.0 412.5000 337.5000
85 0.0 412.5000 412.5000
0 0.0 230.0000 358.0000
0 60.0500 230.1471 357.7644
0 60.1000 230.2942 357.5287
0 60.1500 230.4412 357.2931
0 60.2000 230.5883 357.0574
0 60.2500 230.7354 356.8218
0 60.3000 230.8825 356.5861
0 60.3500 231.0295 356.3505
0 60.4000 231.1766 356.1148
0 60.4500 231.3237 355.8792
0 60.5000 231.4708 355.6435
0 60.5500 231.6178 355.4079
0 60.6000 231.7649 355.1722
0 60.6500 231.9120 354.9366
0 60.7000 232.0591 354.7010
0 60.7500 232.2061 354.4653
0 60.8000 232.3532 354.2297
0 60.8500 232.5003 353.9940
0 60.9000 232.6474 353.7584
0 60.9500 232.7944 353.5227
0 61.0000 232.9415 353.2871
0 61.0500 233.0886 353.0514
0 61.1000 233.2357 352.8158
0 61.1500 233.3827 352.5801
0 61.2000 233.5298 352.3445
0 61.2500 233.6769 352.1088
0 61.3000 233.8240 351.8732
0 61.3500 233.9710 351.6375
0 61.4000 234.1181 351.4019
0 61.4500 234.2652 351.1663
0 61.5000 234.4123 350.9306
0 61.5500 234.5594 350.6950
0 61.6000 234.7064 350.4593
0 61.6500 234.8535 350.2237
0 61.7000 235.0006 349.9880
0 61.7500 235.1477 349.7524
0 61.8000 235.2947 349.5167
0 61.8500 235.4418 349.2811
0 61.9000 235.5889 349.0454
0 61.9500 235.7360 348.8098
0 62.0000 235.8830 348.5741
0 62.0500 236.0301 348.3385
0 62.1000 236.1772 348.1029
0 62.1500 236.3243 347.8672
0 62.2000 236.4713 347.6316
0 62.2500 236.6184 347.3959
0 62.3000 236.7655 347.1603
0 62.3500 236.9126 346.9246
0 62.4000 237.0596 346.6890
0 62.4500 237.2067 346.4533
0 62.5000 237.3538 346.2177
0 62.5500 237.5009 345.9820
0 62.6000 237.6479 345.7464
0 62.6500 237.7950 345.5107
0 62.7000 237.9421 345.2751
0 62.7500 238.0892 345.0395
0 62.8000 238.2362 344.8038
0 62.8500 238.3833 344.5682
0 62.9000 238.5304 344.3325
0 62.9500 238.6775 344.0969
0 63.0000 238.8245 343.8612
0 63.0500 238.9716 343.6256
0 63.1000 239.1187 343.3899
0 63.1500 239.2658 343.1543
0 63.2000 239.4129 342.9186
0 63.2500 239.5599 342.6830
0 63.3000 239.7070 342.4473
0 63.3500 239.8541 342.2117
0 63.4000 240.0012 341.9760
0 63.4500 240.1482 341.7404
0 63.5000 240.2953 341.5048
0 63.5500 240.4424 341.2691
0 63.6000 240.5895 341.0335
0 63.6500 240.7365 340.7978
0 63.7000 240.8836 340.5622
0 63.7500 241.0307 340.3265
0 63.8000 241.1778 340.0909
0 63.8500 241.3248 339.8552
0 63.9000 241.4719 339.6196
0 63.9500 241.6190 339.3839
0 64.0000 241.7661 339.1483
