#node time(s) x y
1 0.0 225.0000 225.0000
2 0.0 0.0000 0.0000
3 0.0 0.0000 75.0000
4 0.0 0.0000 150.0000
5 0.0 0.0000 225.0000
6 0.0 0.0000 300.0000
7 0.0 0.0000 375.0000
8 0.0 0.0000 450.0000
9 0.0 75.0000 0.0000
10 0.0 75.0000 75.0000
11 0.0 75.0000 150.0000
12 0.0 75.0000 225.0000
13 0.0 75.0000 300.0000
14 0.0 75.0000 375.0000
15 0.0 75.0000 450.0000
16 0.0 150.0000 0.0000
17 0.0 150.0000 75.0000
18 0.0 150.0000 150.0000
19 0.0 150.0000 225.0000
20 0.0 150.0000 300.0000
21 0.0 150.0000 375.0000
22 0.0 150.0000 450.0000
23 0.0 225.0000 0.0000
24 0.0 225.0000 75.0000
25 0.0 225.0000 150.0000
26 0.0 225.0000 300.0000
27 0.0 225.0000 375.0000
28 0.0 225.0000 450.0000
29 0.0 300.0000 0.0000
30 0.0 300.0000 75.0000
31 0.0 300.0000 150.0000
32 0.0 300.0000 225.0000
33 0.0 300.0000 300.0000
34 0.0 300.0000 375.0000
35 0.0 300.0000 450.0000
36 0.0 375.0000 0.0000
37 0.0 375.0000 75.0000
38 0.0 375.0000 150.0000
39 0.0 375.0000 225.0000
40 0.0 375.0000 300.0000
41 0.0 375.0000 375.0000
42 0.0 375.0000 450.0000
43 0.0 450.0000 0.0000
44 0.0 450.0000 75.0000
45 0.0 450.0000 150.0000
46 0.0 450.0000 225.0000
47 0.0 450.0000 300.0000
48 0.0 450.0000 375.0000
49 0.0 450.0000 450.0000
0 0.0 90.0000 449.0000
0 60.0500 90.0014 448.9306
0 60.1000 90.0029 448.8611
0 60.1500 90.0043 448.7917
0 60.2000 90.0058 448.7223
0 60.2500 90.0072 448.6529
0 60.3000 90.0087 448.5834
0 60.3500 90.0101 448.5140
0 60.4000 90.0116 448.4446
0 60.4500 90.0130 448.3751
0 60.5000 90.0145 448.3057
0 60.5500 90.0159 448.2363
0 60.6000 90.0174 448.1668
0 60.6500 90.0188 448.0974
0 60.7000 90.0203 448.0280
0 60.7500 90.0217 447.9586
0 60.8000 90.0231 447.8891
0 60.8500 90.0246 447.8197
0 60.9000 90.0260 447.7503
0 60.9500 90.0275 447.6808
0 61.0000 90.0289 447.6114
0 61.0500 90.0304 447.5420
0 61.1000 90.0318 447.4726
0 61.1500 90.0333 447.4031
0 61.2000 90.0347 447.3337
0 61.2500 90.0362 447.2643
0 61.3000 90.0376 447.1948
0 61.3500 90.0391 447.1254
0 61.4000 90.0405 447.0560
0 61.4500 90.0419 446.9865
0 61.5000 90.0434 446.9171
0 61.5500 90.0448 446.8477
0 61.6000 90.0463 446.7783
0 61.6500 90.0477 446.7088
0 61.7000 90.0492 446.6394
0 61.7500 90.0506 446.5700
0 61.8000 90.0521 446.5005
0 61.8500 90.0535 446.4311
0 61.9000 90.0550 446.3617
0 61.9500 90.0564 446.2923
0 62.0000 90.0579 446.2228
0 62.0500 90.0593 446.1534
0 62.1000 90.0608 446.0840
0 62.1500 90.0622 446.0145
0 62.2000 90.0636 445.9451
0 62.2500 90.0651 445.8757
0 62.3000 90.0665 445.8062
0 62.3500 90.0680 445.7368
0 62.4000 90.0694 445.6674
0 62.4500 90.0709 445.5980
0 62.5000 90.0723 445.5285
0 62.5500 90.0738 445.4591
0 62.6000 90.0752 445.3897
0 62.6500 90.0767 445.3202
0 62.7000 90.0781 445.2508
0 62.7500 90.0796 445.1814
0 62.8000 90.0810 445.1120
0 62.8500 90.0824 445.0425
0 62.9000 90.0839 444.9731
0 62.9500 90.0853 444.9037
0 63.0000 90.0868 444.8342
0 63.0500 90.0882 444.7648
0 63.1000 90.0897 444.6954
0 63.1500 90.0911 444.6259
0 63.2000 90.0926 444.5565
0 63.2500 90.0940 444.4871
0 63.3000 90.0955 444.4177
0 63.3500 90.0969 444.3482
0 63.4000 90.0984 444.2788
0 63.4500 90.0998 444.2094
0 63.5000 90.1013 444.1399
0 63.5500 90.1027 444.0705
0 63.6000 90.1041 444.0011
0 63.6500 90.1056 443.9317
0 63.7000 90.1070 443.8622
0 63.7500 90.1085 443.7928
0 63.8000 90.1099 443.7234
0 63.8500 90.1114 443.6539
0 63.9000 90.1128 443.5845
0 63.9500 90.1143 443.5151
0 64.0000 90.1157 443.4456
0 64.0500 90.1172 443.3762
0 64.1000 90.1186 443.3068
0 64.1500 90.1201 443.2374
0 64.2000 90.1215 443.1679
0 64.2500 90.1229 443.0985
0 64.3000 90.1244 443.0291
0 64.3500 90.1258 442.9596
0 64.4000 90.1273 442.8902
0 64.4500 90.1287 442.8208
0 64.5000 90.1302 442.7514
0 64.5500 90.1316 442.6819
0 64.6000 90.1331 442.6125
0 64.6500 90.1345 442.5431
0 64.7000 90.1360 442.4736
0 64.7500 90.1374 442.4042
0 64.8000 90.1389 442.3348
0 64.8500 90.1403 442.2654
0 64.9000 90.1418 442.1959
0 64.9500 90.1432 442.1265
0 65.0000 90.1446 442.0571
0 65.0500 90.1461 441.9876
0 65.1000 90.1475 441.9182
0 65.1500 90.1490 441.8488
0 65.2000 90.1504 441.7793
0 65.2500 90.1519 441.7099
0 65.3000 90.1533 441.6405
0 65.3500 90.1548 441.5711
0 65.4000 90.1562 441.5016
0 65.4500 90.1577 441.4322
0 65.5000 90.1591 441.3628
0 65.5500 90.1606 441.2933
0 65.6000 90.1620 441.2239
0 65.6500 90.1634 441.1545
0 65.7000 90.1649 441.0851
