#node time(s) x y
37 0.0 350.00 350.00
37 120.000 349.80 349.81
37 120.050 349.60 349.62
37 120.100 349.40 349.44
37 120.150 349.20 349.25
37 120.200 348.99 349.06
37 120.250 348.79 348.87
37 120.300 348.59 348.69
37 120.350 348.39 348.50
37 120.400 348.19 348.31
37 120.450 347.99 348.12
37 120.500 347.79 347.94
37 120.550 347.59 347.75
37 120.600 347.39 347.56
37 120.650 347.18 347.37
37 120.700 346.98 347.19
37 120.750 346.78 347.00
37 120.800 346.58 346.81
37 120.850 346.38 346.62
37 120.900 346.18 346.44
37 120.950 345.98 346.25
37 121.000 345.78 346.06
37 121.050 345.58 345.87
37 121.100 345.37 345.69
37 121.150 345.17 345.50
37 121.200 344.97 345.31
37 121.250 344.77 345.12
37 121.300 344.57 344.94
37 121.350 344.37 344.75
37 121.400 344.17 344.56
37 121.450 343.97 344.37
37 121.500 343.77 344.19
37 121.550 343.56 344.00
37 121.600 343.36 343.81
37 121.650 343.16 343.62
37 121.700 342.96 343.44
37 121.750 342.76 343.25
37 121.800 342.56 343.06
37 121.850 342.36 342.87
37 121.900 342.16 342.68
37 121.950 341.96 342.50
37 122.000 341.75 342.31
37 122.050 341.55 342.12
37 122.100 341.35 341.93
37 122.150 341.15 341.75
37 122.200 340.95 341.56
37 122.250 340.75 341.37
37 122.300 340.55 341.18
37 122.350 340.35 341.00
37 122.400 340.15 340.81
37 122.450 339.94 340.62
37 122.500 339.74 340.43
37 122.550 339.54 340.25
37 122.600 339.34 340.06
37 122.650 339.14 339.87
37 122.700 338.94 339.68
37 122.750 338.74 339.50
37 122.800 338.54 339.31
37 122.850 338.34 339.12
37 122.900 338.13 338.93
37 122.950 337.93 338.75
37 123.000 337.73 338.56
37 123.050 337.53 338.37
37 123.100 337.33 338.18
37 123.150 337.13 338.00
37 123.200 336.93 337.81
37 123.250 336.73 337.62
37 123.300 336.53 337.43
37 123.350 336.33 337.25
37 123.400 336.12 337.06
37 123.450 335.92 336.87
37 123.500 335.72 336.68
37 123.550 335.52 336.49
37 123.600 335.32 336.31
37 123.650 335.12 336.12
