#node time(s) x y
41 0.0 450.00 450.00
41 120.000 450.00 450.00
41 120.050 449.89 449.92
41 120.100 449.78 449.83
41 120.150 449.67 449.75
41 120.200 449.56 449.66
41 120.250 449.45 449.58
41 120.300 449.34 449.49
41 120.350 449.23 449.41
41 120.400 449.12 449.32
41 120.450 449.01 449.24
41 120.500 448.90 449.15
41 120.550 448.79 449.07
41 120.600 448.68 448.98
41 120.650 448.57 448.90
41 120.700 448.46 448.81
41 120.750 448.35 448.73
41 120.800 448.24 448.64
41 120.850 448.13 448.56
41 120.900 448.02 448.47
41 120.950 447.91 448.39
41 121.000 447.80 448.30
41 121.050 447.69 448.22
41 121.100 447.58 448.13
41 121.150 447.47 448.05
41 121.200 447.36 447.96
41 121.250 447.25 447.88
41 121.300 447.14 447.79
41 121.350 447.03 447.71
41 121.400 446.92 447.62
41 121.450 446.81 447.54
41 121.500 446.70 447.45
41 121.550 446.59 447.37
41 121.600 446.48 447.28
41 121.650 446.37 447.20
41 121.700 446.26 447.11
41 121.750 446.15 447.03
41 121.800 446.04 446.94
41 121.850 445.93 446.86
41 121.900 445.82 446.77
41 121.950 445.71 446.69
41 122.000 445.60 446.60
41 122.050 445.49 446.52
41 122.100 445.38 446.43
41 122.150 445.27 446.35
41 122.200 445.16 446.26
41 122.250 445.05 446.18
41 122.300 444.94 446.09
41 122.350 444.83 446.01
41 122.400 444.72 445.92
41 122.450 444.61 445.84
41 122.500 444.50 445.75
41 122.550 444.39 445.67
41 122.600 444.28 445.58
41 122.650 444.17 445.50
41 122.700 444.06 445.41
41 122.750 443.95 445.33
41 122.800 443.84 445.25
41 122.850 443.74 445.16
41 122.900 443.63 445.08
41 122.950 443.52 444.99
41 123.000 443.41 444.91
41 123.050 443.30 444.82
41 123.100 443.19 444.74
41 123.150 443.08 444.65
41 123.200 442.97 444.57
41 123.250 442.86 444.48
41 123.300 442.75 444.40
41 123.350 442.64 444.31
41 123.400 442.53 444.23
41 123.450 442.42 444.14
41 123.500 442.31 444.06
41 123.550 442.20 443.97
41 123.600 442.09 443.89
41 123.650 441.98 443.80
41 123.700 441.87 443.72
41 123.750 441.76 443.63
41 123.800 441.65 443.55
41 123.850 441.54 443.46
41 123.900 441.43 443.38
41 123.950 441.32 443.29
41 124.000 441.21 443.21
41 124.050 441.10 443.12
41 124.100 440.99 443.04
41 124.150 440.88 442.95
41 124.200 440.77 442.87
41 124.250 440.66 442.78
41 124.300 440.55 442.70
41 124.350 440.44 442.61
41 124.400 440.33 442.53
41 124.450 440.22 442.44
41 124.500 440.11 442.36
41 124.550 440.00 442.27
41 124.600 439.89 442.19
41 124.650 439.78 442.10
41 124.700 439.67 442.02
41 124.750 439.56 441.93
41 124.800 439.45 441.85
41 124.850 439.34 441.76
41 124.900 439.23 441.68
41 124.950 439.12 441.59
41 125.000 439.01 441.51
41 125.050 438.90 441.42
41 125.100 438.79 441.34
41 125.150 438.68 441.25
41 125.200 438.57 441.17
41 125.250 438.46 441.08
41 125.300 438.35 441.00
41 125.350 438.24 440.91
41 125.400 438.13 440.83
41 125.450 438.02 440.75
41 125.500 437.91 440.66
41 125.550 437.80 440.58
41 125.600 437.69 440.49
41 125.650 437.58 440.41
41 125.700 437.47 440.32
41 125.750 437.36 440.24
41 125.800 437.25 440.15
41 125.850 437.14 440.07
41 125.900 437.03 439.98
41 125.950 436.92 439.90
41 126.000 436.81 439.81
41 126.050 436.70 439.73
41 126.100 436.59 439.64
41 126.150 436.48 439.56
41 126.200 436.37 439.47
41 126.250 436.26 439.39
41 126.300 436.15 439.30
41 126.350 436.04 439.22
41 126.400 435.93 439.13
41 126.450 435.82 439.05
41 126.500 435.71 438.96
41 126.550 435.60 438.88
41 126.600 435.49 438.79
41 126.650 435.38 438.71
41 126.700 435.27 438.62
41 126.750 435.16 438.54
41 126.800 435.05 438.45
41 126.850 434.94 438.37
41 126.900 434.83 438.28
41 126.950 434.72 438.20
41 127.000 434.61 438.11
41 127.050 434.50 438.03
41 127.100 434.39 437.94
41 127.150 434.28 437.86
41 127.200 434.17 437.77
41 127.250 434.06 437.69
41 127.300 433.95 437.60
41 127.350 433.84 437.52
41 127.400 433.73 437.43
41 127.450 433.62 437.35
41 127.500 433.51 437.26
41 127.550 433.40 437.18
41 127.600 433.29 437.09
41 127.650 433.18 437.01
41 127.700 433.07 436.92
41 127.750 432.96 436.84
41 127.800 432.85 436.75
41 127.850 432.74 436.67
41 127.900 432.63 436.58
41 127.950 432.52 436.50
41 128.000 432.41 436.41
41 128.050 432.30 436.33
41 128.100 432.19 436.24
41 128.150 432.08 436.16
41 128.200 431.97 436.08
41 128.250 431.86 435.99
41 128.300 431.75 435.91
41 128.350 431.64 435.82
41 128.400 431.53 435.74
41 128.450 431.42 435.65
41 128.500 431.31 435.57
41 128.550 431.21 435.48
41 128.600 431.10 435.40
41 128.650 430.99 435.31
41 128.700 430.88 435.23
41 128.750 430.77 435.14
41 128.800 430.66 435.06
41 128.850 430.55 434.97
41 128.900 430.44 434.89
41 128.950 430.33 434.80
41 129.000 430.22 434.72
41 129.050 430.11 434.63
41 129.100 430.00 434.55
41 129.150 429.89 434.46
41 129.200 429.78 434.38
41 129.250 429.67 434.29
41 129.300 429.56 434.21
41 129.350 429.45 434.12
41 129.400 429.34 434.04
41 129.450 429.23 433.95
41 129.500 429.12 433.87
41 129.550 429.01 433.78
41 129.600 428.90 433.70
41 129.650 428.79 433.61
41 129.700 428.68 433.53
41 129.750 428.57 433.44
41 129.800 428.46 433.36
41 129.850 428.35 433.27
41 129.900 428.24 433.19
41 129.950 428.13 433.10
41 130.000 428.02 433.02
41 130.050 427.91 432.93
41 130.100 427.80 432.85
41 130.150 427.69 432.76
41 130.200 427.58 432.68
41 130.250 427.47 432.59
41 130.300 427.36 432.51
41 130.350 427.25 432.42
41 130.400 427.14 432.34
41 130.450 427.03 432.25
41 130.500 426.92 432.17
41 130.550 426.81 432.08
41 130.600 426.70 432.00
41 130.650 426.59 431.91
41 130.700 426.48 431.83
41 130.750 426.37 431.74
41 130.800 426.26 431.66
41 130.850 426.15 431.57
41 130.900 426.04 431.49
41 130.950 425.93 431.41
41 131.000 425.82 431.32
41 131.050 425.71 431.24
41 131.100 425.60 431.15
41 131.150 425.49 431.07
41 131.200 425.38 430.98
41 131.250 425.27 430.90
41 131.300 425.16 430.81
41 131.350 425.05 430.73
41 131.400 424.94 430.64
41 131.450 424.83 430.56
41 131.500 424.72 430.47
41 131.550 424.61 430.39
41 131.600 424.50 430.30
41 131.650 424.39 430.22
41 131.700 424.28 430.13
41 131.750 424.17 430.05
41 131.800 424.06 429.96
41 131.850 423.95 429.88
41 131.900 423.84 429.79
41 131.950 423.73 429.71
41 132.000 423.62 429.62
41 132.050 423.51 429.54
41 132.100 423.40 429.45
41 132.150 423.29 429.37
41 132.200 423.18 429.28
41 132.250 423.07 429.20
41 132.300 422.96 429.11
41 132.350 422.85 429.03
41 132.400 422.74 428.94
41 132.450 422.63 428.86
41 132.500 422.52 428.77
41 132.550 422.41 428.69
41 132.600 422.30 428.60
41 132.650 422.19 428.52
41 132.700 422.08 428.43
41 132.750 421.97 428.35
41 132.800 421.86 428.26
41 132.850 421.75 428.18
41 132.900 421.64 428.09
41 132.950 421.53 428.01
41 133.000 421.42 427.92
41 133.050 421.31 427.84
41 133.100 421.20 427.75
41 133.150 421.09 427.67
41 133.200 420.98 427.58
41 133.250 420.87 427.50
41 133.300 420.76 427.41
41 133.350 420.65 427.33
41 133.400 420.54 427.24
41 133.450 420.43 427.16
41 133.500 420.32 427.07
41 133.550 420.21 426.99
41 133.600 420.10 426.90
41 133.650 419.99 426.82
