#node time(s) x y
1 0.0 5.0000 0.0000
2 0.0 0.0000 10.0000
3 0.0 -15.0000 0.0000
4 0.0 0.0000 -20.0000
5 0.0 25.0000 0.0000
6 0.0 0.0000 30.0000
7 0.0 -35.0000 0.0000
8 0.0 0.0000 -40.0000
9 0.0 45.0000 0.0000
10 0.0 0.0000 50.0000
11 0.0 -55.0000 0.0000
12 0.0 0.0000 -60.0000
13 0.0 65.0000 0.0000
14 0.0 0.0000 70.0000
15 0.0 -75.0000 0.0000
16 0.0 0.0000 -80.0000
17 0.0 85.0000 0.0000
18 0.0 0.0000 90.0000
19 0.0 -95.0000 0.0000
20 0.0 0.0000 -100.0000
21 0.0 105.0000 0.0000
22 0.0 0.0000 110.0000
23 0.0 -115.0000 0.0000
24 0.0 0.0000 -120.0000
25 0.0 125.0000 0.0000
26 0.0 0.0000 130.0000
27 0.0 -135.0000 0.0000
28 0.0 0.0000 -140.0000
29 0.0 145.0000 0.0000
0 0.0 0.0000 0.0000
0 5.0 0.0000 0.0000

