#node time(s) x y
1 0.0 0.0 0.0
0 0.0 300.00 0.00
0 60.0 300.00 0.28
0 60.1 300.00 0.55
0 60.1 300.00 0.83
0 60.2 300.00 1.10
0 60.2 300.00 1.38
0 60.3 300.00 1.65
0 60.3 300.00 1.92
0 60.4 300.00 2.20
0 60.4 300.00 2.47
0 60.5 300.00 2.75
0 60.5 300.00 3.02
0 60.6 300.00 3.30
0 60.6 300.00 3.57
0 60.7 300.00 3.85
0 60.7 300.00 4.12
0 60.8 300.00 4.40
0 60.8 300.00 4.67
0 60.9 300.00 4.95
0 60.9 300.00 5.23
0 61.0 300.00 5.50
0 61.0 300.00 5.78
0 61.1 300.00 6.05
0 61.1 300.00 6.33
0 61.2 300.00 6.60
0 61.2 300.00 6.88
0 61.3 300.00 7.15
0 61.3 300.00 7.43
0 61.4 300.00 7.70
0 61.4 300.00 7.98
0 61.5 300.00 8.25
0 61.5 300.00 8.53
0 61.6 300.00 8.80
0 61.6 300.00 9.08
0 61.7 300.00 9.35
0 61.7 300.00 9.63
0 61.8 300.00 9.90
0 61.8 300.00 10.18
0 61.9 300.00 10.45
0 61.9 300.00 10.73
0 62.0 300.00 11.00
0 62.0 300.00 11.28
0 62.1 300.00 11.55
0 62.1 300.00 11.83
0 62.2 300.00 12.10
0 62.2 300.00 12.38
0 62.3 300.00 12.65
0 62.3 300.00 12.93
0 62.4 300.00 13.20
0 62.4 300.00 13.48
0 62.5 300.00 13.75
0 62.5 300.00 14.03
0 62.6 300.00 14.30
0 62.6 300.00 14.58
0 62.7 300.00 14.85
0 62.7 300.00 15.13
0 62.8 300.00 15.40
0 62.8 300.00 15.68
0 62.9 300.00 15.95
0 62.9 300.00 16.23
0 63.0 300.00 16.50
0 63.0 300.00 16.78
0 63.1 300.00 17.05
0 63.1 300.00 17.33
0 63.2 300.00 17.60
0 63.2 300.00 17.88
0 63.3 300.00 18.15
0 63.3 300.00 18.43
0 63.4 300.00 18.70
0 63.4 300.00 18.97
0 63.5 300.00 19.25
0 63.5 300.00 19.52
0 63.6 300.00 19.80
0 63.6 300.00 20.07
0 63.7 300.00 20.35
0 63.7 300.00 20.62
0 63.8 300.00 20.90
0 63.8 300.00 21.17
0 63.9 300.00 21.45
0 63.9 300.00 21.72
0 64.0 300.00 22.00
0 64.0 300.00 22.27
0 64.1 300.00 22.55
0 64.1 300.00 22.82
0 64.2 300.00 23.10
0 64.2 300.00 23.37
0 64.3 300.00 23.65
0 64.3 300.00 23.92
0 64.4 300.00 24.20
0 64.4 300.00 24.47
0 64.5 300.00 24.75
0 64.5 300.00 25.02
0 64.6 300.00 25.30
0 64.6 300.00 25.57
0 64.7 300.00 25.85
0 64.7 300.00 26.12
0 64.8 300.00 26.40
0 64.8 300.00 26.67
0 64.9 300.00 26.95
0 64.9 300.00 27.22
0 65.0 300.00 27.50
0 65.0 300.00 27.77
0 65.1 300.00 28.05
0 65.1 300.00 28.32
0 65.2 300.00 28.60
0 65.2 300.00 28.87
0 65.3 300.00 29.15
0 65.3 300.00 29.42
0 65.4 300.00 29.70
0 65.4 300.00 29.97
0 65.5 300.00 30.25
0 65.5 300.00 30.52
0 65.6 300.00 30.80
0 65.6 300.00 31.07
0 65.7 300.00 31.35
0 65.7 300.00 31.62
0 65.8 300.00 31.90
0 65.8 300.00 32.17
0 65.9 300.00 32.45
0 65.9 300.00 32.72
0 66.0 300.00 33.00
0 66.0 300.00 33.27
0 66.1 300.00 33.55
0 66.1 300.00 33.82
0 66.2 300.00 34.10
0 66.2 300.00 34.37
0 66.3 300.00 34.65
0 66.3 300.00 34.92
0 66.4 300.00 35.20
0 66.4 300.00 35.47
0 66.5 300.00 35.75
0 66.5 300.00 36.02
0 66.6 300.00 36.30
0 66.6 300.00 36.57
0 66.7 300.00 36.85
0 66.7 300.00 37.12
0 66.8 300.00 37.40
0 66.8 300.00 37.67
0 66.9 300.00 37.95
0 66.9 300.00 38.22
0 67.0 300.00 38.50
0 67.0 300.00 38.77
0 67.1 300.00 39.05
0 67.1 300.00 39.32
0 67.2 300.00 39.60
0 67.2 300.00 39.87
0 67.3 300.00 40.15
0 67.3 300.00 40.42
0 67.4 300.00 40.70
0 67.4 300.00 40.97
0 67.5 300.00 41.25
0 67.5 300.00 41.52
0 67.6 300.00 41.80
0 67.6 300.00 42.07
