#node time(s) x y
0 0.0 210.0 100.0
1 0.0 300.0 100.0
2 0.0 190.0 170.0
3 0.0 220.0 230.0
4 0.0 300.0 230.0
5 0.0 350.00 -40.00
5 80.2 350.00 -39.73
5 80.4 350.00 -39.45
5 80.6 350.00 -39.18
5 80.8 350.00 -38.90
5 81.0 350.00 -38.63
5 81.2 350.00 -38.35
5 81.4 350.00 -38.08
5 81.6 350.00 -37.80
5 81.8 350.00 -37.53
5 82.0 350.00 -37.25
5 82.2 350.00 -36.98
5 82.4 350.00 -36.70
5 82.6 350.00 -36.43
5 82.8 350.00 -36.15
5 83.0 350.00 -35.88
5 83.2 350.00 -35.60
5 83.4 350.00 -35.33
5 83.6 350.00 -35.05
5 83.8 350.00 -34.78
5 84.0 350.00 -34.50
5 84.2 350.00 -34.23
5 84.4 350.00 -33.95
5 84.6 350.00 -33.68
5 84.8 350.00 -33.40
5 85.0 350.00 -33.13
5 85.2 350.00 -32.85
5 85.4 350.00 -32.58
5 85.6 350.00 -32.30
5 85.8 350.00 -32.03
5 86.0 350.00 -31.75
5 86.2 350.00 -31.48
5 86.4 350.00 -31.20
5 86.6 350.00 -30.93
5 86.8 350.00 -30.65
5 87.0 350.00 -30.38
5 87.2 350.00 -30.10
5 87.4 350.00 -29.83
5 87.6 350.00 -29.55
5 87.8 350.00 -29.28
5 88.0 350.00 -29.00
5 88.2 350.00 -28.73
5 88.4 350.00 -28.45
5 88.6 350.00 -28.18
5 88.8 350.00 -27.90
5 89.0 350.00 -27.63
5 89.2 350.00 -27.35
5 89.4 350.00 -27.08
5 89.6 350.00 -26.80
5 89.8 350.00 -26.53
5 90.0 350.00 -26.25
5 90.2 350.00 -25.98
5 90.4 350.00 -25.70
5 90.6 350.00 -25.43
5 90.8 350.00 -25.15
5 91.0 350.00 -24.88
5 91.2 350.00 -24.60
5 91.4 350.00 -24.33
5 91.6 350.00 -24.05
5 91.8 350.00 -23.78
5 92.0 350.00 -23.50
5 92.2 350.00 -23.23
5 92.4 350.00 -22.95
5 92.6 350.00 -22.68
5 92.8 350.00 -22.40
5 93.0 350.00 -22.13
5 93.2 350.00 -21.85
5 93.4 350.00 -21.58
5 93.6 350.00 -21.30
5 93.8 350.00 -21.03
5 94.0 350.00 -20.75
5 94.2 350.00 -20.48
5 94.4 350.00 -20.20
5 94.6 350.00 -19.93
5 94.8 350.00 -19.65
5 95.0 350.00 -19.38
5 95.2 350.00 -19.10
5 95.4 350.00 -18.83
5 95.6 350.00 -18.55
5 95.8 350.00 -18.28
5 96.0 350.00 -18.00
5 96.2 350.00 -17.73
5 96.4 350.00 -17.45
5 96.6 350.00 -17.18
5 96.8 350.00 -16.90
5 97.0 350.00 -16.63
5 97.2 350.00 -16.35
5 97.4 350.00 -16.08
5 97.6 350.00 -15.80
5 97.8 350.00 -15.53
5 98.0 350.00 -15.25
5 98.2 350.00 -14.98
5 98.4 350.00 -14.70
5 98.6 350.00 -14.43
5 98.8 350.00 -14.15
5 99.0 350.00 -13.88
5 99.2 350.00 -13.60
5 99.4 350.00 -13.33
5 99.6 350.00 -13.05
5 99.8 350.00 -12.78
5 100.0 350.00 -12.50
5 100.2 350.00 -12.23
5 100.4 350.00 -11.95
5 100.6 350.00 -11.68
5 100.8 350.00 -11.40
5 101.0 350.00 -11.13
5 101.2 350.00 -10.85
5 101.4 350.00 -10.58
5 101.6 350.00 -10.30
5 101.8 350.00 -10.03
5 102.0 350.00 -9.75
5 102.2 350.00 -9.48
5 102.4 350.00 -9.20
5 102.6 350.00 -8.93
5 102.8 350.00 -8.65
5 103.0 350.00 -8.38
5 103.2 350.00 -8.10
5 103.4 350.00 -7.83
5 103.6 350.00 -7.55
5 103.8 350.00 -7.28
5 104.0 350.00 -7.00
5 104.2 350.00 -6.73
5 104.4 350.00 -6.45
5 104.6 350.00 -6.18
5 104.8 350.00 -5.90
5 105.0 350.00 -5.63
5 105.2 350.00 -5.35
5 105.4 350.00 -5.08
5 105.6 350.00 -4.80
5 105.8 350.00 -4.53
